state	county	lat	lon
Georgia	Hancock County	33.2692	-83.0005
Georgia	Haralson County	33.7952	-85.2201
Georgia	Harris County	32.7315	-84.9124
Georgia	Hart County	34.3487	-82.9633
Georgia	Heard County	33.2913	-85.1379
Georgia	Henry County	33.4529	-84.1540
Georgia	Houston County	32.4581	-83.6623
Georgia	Irwin County	31.6043	-83.2770
Georgia	Jackson County	34.1309	-83.5626
Georgia	Jasper County	33.3170	-83.6892
Georgia	Jeff Davis County	31.8116	-82.6368
Georgia	Jefferson County	33.0582	-82.4200
Georgia	Jenkins County	32.7946	-81.9715
Georgia	Johnson County	32.6946	-82.6640
Georgia	Jones County	33.0217	-83.5622
Georgia	Lamar County	33.0744	-84.1467
Georgia	Lanier County	31.0382	-83.0632
Georgia	Laurens County	32.3932	-82.9263
Georgia	Lee County	31.8184	-84.1467
Georgia	Liberty County	31.8075	-81.4579
Georgia	Lincoln County	33.7922	-82.4483
Georgia	Long County	31.7496	-81.7429
Georgia	Lowndes County	30.8331	-83.2690
Georgia	Lumpkin County	34.5681	-83.9989
Georgia	Macon County	32.3627	-84.0512
Georgia	Madison County	34.1285	-83.2037
Georgia	Marion County	32.3593	-84.5287
Georgia	McDuffie County	33.4806	-82.4795
Georgia	McIntosh County	31.4856	-81.3721
Georgia	Meriwether County	33.0293	-84.6671
Georgia	Miller County	31.1629	-84.7304
Georgia	Mitchell County	31.2290	-84.1920
Georgia	Monroe County	33.0188	-83.9218
Georgia	Montgomery County	32.1721	-82.5333
Georgia	Morgan County	33.5987	-83.4994
Georgia	Murray County	34.7971	-84.7380
Georgia	Muscogee County	32.5102	-84.8749
Georgia	Newton County	33.5528	-83.8514
Georgia	Oconee County	33.8341	-83.4377
Georgia	Oglethorpe County	33.8668	-83.0741
Georgia	Paulding County	33.9210	-84.8672
Georgia	Peach County	32.5713	-83.8320
Georgia	Pickens County	34.4567	-84.4904
Georgia	Pierce County	31.3540	-82.2104
Georgia	Pike County	33.0811	-84.3895
Georgia	Polk County	33.9960	-85.1883
Georgia	Pulaski County	32.2388	-83.4818
Georgia	Putnam County	33.3211	-83.3718
Georgia	Quitman County	31.8629	-85.0048
Georgia	Rabun County	34.8839	-83.4049
Georgia	Randolph County	31.7627	-84.7523
Georgia	Richmond County	33.3615	-82.0750
Georgia	Rockdale County	33.6521	-84.0264
Georgia	Schley County	32.2634	-84.3227
Georgia	Screven County	32.7448	-81.6176
Georgia	Seminole County	30.9340	-84.8677
Georgia	Spalding County	33.2623	-84.2849
Georgia	Stephens County	34.5536	-83.2906
Georgia	Stewart County	32.0732	-84.8349
Georgia	Sumter County	32.0423	-84.2043
Georgia	Talbot County	32.7046	-84.5300
Georgia	Taliaferro County	33.5593	-82.8753
Georgia	Tattnall County	32.0438	-82.0592
Georgia	Taylor County	32.5547	-84.2514
Georgia	Telfair County	31.9136	-82.9311
Georgia	Terrell County	31.7772	-84.4394
Georgia	Thomas County	30.8646	-83.9198
Georgia	Tift County	31.4570	-83.5259
Georgia	Toombs County	32.1178	-82.3306
Georgia	Towns County	34.9025	-83.7323
Georgia	Treutlen County	32.4096	-82.5709
Georgia	Troup County	33.0345	-85.0284
Georgia	Turner County	31.7248	-83.6203
Georgia	Twiggs County	32.6658	-83.4259
Georgia	Union County	34.8333	-83.9893
Georgia	Upson County	32.8818	-84.2923
Georgia	Walker County	34.7358	-85.3055
Georgia	Walton County	33.7839	-83.7318
Georgia	Ware County	31.0509	-82.4215
Georgia	Warren County	33.4192	-82.6880
Georgia	Washington County	32.9718	-82.7981
Georgia	Wayne County	31.5478	-81.9124
Georgia	Webster County	32.0467	-84.5538
Georgia	Wheeler County	32.1053	-82.7338
Georgia	White County	34.6442	-83.7430
Georgia	Whitfield County	34.8017	-84.9685
Georgia	Wilcox County	31.9627	-83.4383
Georgia	Wilkes County	33.7790	-82.7479
Georgia	Wilkinson County	32.8043	-83.1755
Georgia	Worth County	31.5518	-83.8500
Idaho	Ada County	43.4515	-116.2444
Idaho	Adams County	44.8770	-116.4616
Idaho	Bannock County	42.6929	-112.2290
Idaho	Bear Lake County	42.2859	-111.3275
Idaho	Benewah County	47.2185	-116.6335
Idaho	Bingham County	43.2164	-112.3992
Idaho	Blaine County	43.3942	-113.9554
Idaho	Boise County	43.9873	-115.7151
Idaho	Bonner County	48.3246	-116.6274
Idaho	Bonneville County	43.3952	-111.6219
Idaho	Boundary County	48.7731	-116.5247
Idaho	Butte County	43.6851	-113.1776
Idaho	Camas County	43.5026	-114.7721
Idaho	Canyon County	43.6258	-116.7091
Idaho	Caribou County	42.7861	-111.5443
Idaho	Cassia County	42.2823	-113.6263
Idaho	Clark County	44.2902	-112.3546
Idaho	Clearwater County	46.6726	-115.6535
Idaho	Custer County	44.2734	-114.2523
Idaho	Elmore County	43.3947	-115.4712
Idaho	Franklin County	42.1736	-111.8230
Idaho	Fremont County	44.2181	-111.4844
Idaho	Gem County	44.0615	-116.3988
Idaho	Gooding County	42.9732	-114.8214
Idaho	Idaho County	45.8496	-115.4673
Idaho	Jefferson County	43.7970	-112.3186
Idaho	Jerome County	42.6914	-114.2621
Idaho	Kootenai County	47.6760	-116.6959
Idaho	Latah County	46.8189	-116.7310
Idaho	Lemhi County	44.9285	-113.8870
Idaho	Lewis County	46.2363	-116.4238
Idaho	Lincoln County	42.9908	-114.1531
Idaho	Madison County	43.7886	-111.6570
Idaho	Minidoka County	42.8572	-113.6398
Idaho	Nez Perce County	46.3338	-116.7609
Idaho	Oneida County	42.1839	-112.5204
Idaho	Owyhee County	42.5729	-116.1897
Idaho	Payette County	44.0024	-116.7502
Idaho	Power County	42.6941	-112.8444
Idaho	Shoshone County	47.3477	-115.8851
Idaho	Teton County	43.7610	-111.2118
Idaho	Twin Falls County	42.3523	-114.6656
Idaho	Valley County	44.8560	-115.6181
Idaho	Washington County	44.4482	-116.7978
Illinois	Adams County	39.9861	-91.1950
Illinois	Alexander County	37.1837	-89.3495
Illinois	Bond County	38.8859	-89.4366
Illinois	Boone County	42.3190	-88.8243
Illinois	Brown County	39.9621	-90.7503
Illinois	Bureau County	41.4013	-89.5284
Illinois	Calhoun County	39.1643	-90.6663
Illinois	Carroll County	42.0709	-89.9242
Illinois	Cass County	39.9692	-90.2457
Illinois	Champaign County	40.1390	-88.1970
Illinois	Christian County	39.5455	-89.2796
Illinois	Clark County	39.3323	-87.7917
Illinois	Clay County	38.7468	-88.4823
Illinois	Clinton County	38.6063	-89.4262
Illinois	Coles County	39.5137	-88.2208
Illinois	Cook County	41.8943	-87.6455
Illinois	Crawford County	39.0028	-87.7606
Illinois	Cumberland County	39.2731	-88.2406
Illinois	De Witt County	40.1815	-88.9019
Illinois	DeKalb County	41.8946	-88.7690
Illinois	Douglas County	39.7661	-88.2229
Illinois	DuPage County	41.8521	-88.0860
Illinois	Edgar County	39.6790	-87.7471
Illinois	Edwards County	38.4171	-88.0479
Illinois	Effingham County	39.0479	-88.5928
Illinois	Fayette County	39.0011	-89.0179
Illinois	Ford County	40.5965	-88.2246
Illinois	Franklin County	37.9919	-88.9263
Illinois	Fulton County	40.4652	-90.2023
Illinois	Gallatin County	37.7687	-88.2280
